.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3531A
dbus-logger  | 2026-04-24 14:09:10,108 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353041579091500F2B9041579091500F2B9041579091500F2B9041579091500F2B9041579091500F2B9
dbus-logger  | 2026-04-24 14:09:10,111 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:10,111 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:10,114 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:10,114 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:10,114 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:10,117 - app.core.uart - INFO - Frame OK: 041579091500F2B9
dbus-logger  | 2026-04-24 14:09:10,119 - app.core.uart - INFO - Frame OK: 041579091500F2B9
dbus-logger  | 2026-04-24 14:09:10,122 - app.core.uart - INFO - Frame OK: 041579091500F2B9
dbus-logger  | 2026-04-24 14:09:10,124 - app.core.uart - INFO - Frame OK: 041579091500F2B9
dbus-logger  | 2026-04-24 14:09:10,126 - app.core.uart - INFO - Frame OK: 041579091500F2B9
dbus-logger  | 2026-04-24 14:09:11,046 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:09:11,048 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:11,048 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:11,049 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:11,049 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:11,049 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:12,001 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:12,002 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:12,023 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:09:12,024 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:12,025 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:12,025 - app.core.uart - WARNING - Incomplete frame in transaction: expected 25, have 6. Remaining data: 15790B00D353
dbus-logger  | 2026-04-24 14:09:12,025 - app.core.uart - WARNING - Invalid LEN byte 0x79 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:12,025 - app.core.uart - WARNING - Incomplete frame in transaction: expected 15, have 4. Remaining data: 0B00D353
dbus-logger  | 2026-04-24 14:09:12,025 - app.core.uart - WARNING - Invalid LEN byte 0x00 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:12,025 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:12,025 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:12,105 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D35304157909180084E504157909180084E504157909180084E504157909180084E504157909180084E5
dbus-logger  | 2026-04-24 14:09:12,106 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:12,106 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:12,108 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D35304157909180084E504157909180084E5041579. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:12,109 - app.core.uart - ERROR - CRC FAIL for frame: 09180084E504157909180084E5. Skipping 13 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:12,110 - app.core.uart - INFO - Frame OK: 04157909180084E5
dbus-logger  | 2026-04-24 14:09:13,044 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:09:13,045 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:13,045 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:13,047 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:13,047 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:13,047 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:14,065 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353041579091C004821041579091C004821
dbus-logger  | 2026-04-24 14:09:14,067 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:14,067 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:14,068 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:14,068 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:14,069 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:14,070 - app.core.uart - INFO - Frame OK: 041579091C004821
dbus-logger  | 2026-04-24 14:09:14,071 - app.core.uart - INFO - Frame OK: 041579091C004821
dbus-logger  | 2026-04-24 14:09:14,100 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 041579091C004821041579091C004821041579091C004821
dbus-logger  | 2026-04-24 14:09:14,102 - app.core.uart - INFO - Frame OK: 041579091C004821
dbus-logger  | 2026-04-24 14:09:14,103 - app.core.uart - INFO - Frame OK: 041579091C004821
dbus-logger  | 2026-04-24 14:09:14,104 - app.core.uart - INFO - Frame OK: 041579091C004821
dbus-logger  | 2026-04-24 14:09:15,038 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:09:15,039 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:15,039 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:15,040 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:15,041 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:15,041 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
