dbus-logger  | 2026-04-22 14:42:57,262 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:42:57,262 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-22 14:42:57,263 - app.core.uart - WARNING - Incomplete frame in transaction: expected 25, have 13. Remaining data: 15790B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:42:57,263 - app.core.uart - WARNING - Invalid LEN byte 0x79 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:57,263 - app.core.uart - WARNING - Incomplete frame in transaction: expected 15, have 11. Remaining data: 0B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:42:57,263 - app.core.uart - WARNING - Invalid LEN byte 0x00 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:57,263 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:57,263 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:57,264 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:42:58,224 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:42:58,226 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:42:58,226 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-22 14:42:58,226 - app.core.uart - WARNING - Incomplete frame in transaction: expected 25, have 6. Remaining data: 15790B00D353
dbus-logger  | 2026-04-22 14:42:58,226 - app.core.uart - WARNING - Invalid LEN byte 0x79 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:58,227 - app.core.uart - WARNING - Incomplete frame in transaction: expected 15, have 4. Remaining data: 0B00D353
dbus-logger  | 2026-04-22 14:42:58,227 - app.core.uart - WARNING - Invalid LEN byte 0x00 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:58,227 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:58,227 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:58,256 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:42:58,257 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:42:58,258 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-22 14:42:58,258 - app.core.uart - WARNING - Incomplete frame in transaction: expected 25, have 13. Remaining data: 15790B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:42:58,258 - app.core.uart - WARNING - Invalid LEN byte 0x79 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:58,258 - app.core.uart - WARNING - Incomplete frame in transaction: expected 15, have 11. Remaining data: 0B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:42:58,258 - app.core.uart - WARNING - Invalid LEN byte 0x00 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:58,258 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:58,258 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:58,259 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:42:58,600 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 04157909FE003EF104157909FE003EF104157909FE003EF104157909FE003EF104157909FE003EF1
dbus-logger  | 2026-04-22 14:42:58,601 - app.core.uart - INFO - Frame OK: 04157909FE003EF1
dbus-logger  | 2026-04-22 14:42:58,603 - app.core.uart - INFO - Frame OK: 04157909FE003EF1
dbus-logger  | 2026-04-22 14:42:58,604 - app.core.uart - INFO - Frame OK: 04157909FE003EF1
dbus-logger  | 2026-04-22 14:42:58,605 - app.core.uart - INFO - Frame OK: 04157909FE003EF1
dbus-logger  | 2026-04-22 14:42:58,606 - app.core.uart - INFO - Frame OK: 04157909FE003EF1
dbus-logger  | 2026-04-22 14:42:59,256 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:42:59,257 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:42:59,257 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-22 14:42:59,258 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping byte and continuing...
dbus-logger  | 2026-04-22 14:42:59,259 - app.core.uart - WARNING - Invalid LEN byte 0x79 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:59,260 - app.core.uart - ERROR - CRC FAIL for frame: 0B00D3530315790B00D3530315790B. Skipping byte and continuing...
dbus-logger  | 2026-04-22 14:42:59,260 - app.core.uart - WARNING - Invalid LEN byte 0x00 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:59,260 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:59,260 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:59,261 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:42:59,261 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-22 14:42:59,261 - app.core.uart - WARNING - Incomplete frame in transaction: expected 25, have 13. Remaining data: 15790B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:42:59,261 - app.core.uart - WARNING - Invalid LEN byte 0x79 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:59,261 - app.core.uart - WARNING - Incomplete frame in transaction: expected 15, have 11. Remaining data: 0B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:42:59,262 - app.core.uart - WARNING - Invalid LEN byte 0x00 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:59,262 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
